item,value,source_file,notes
augmentation_or_training_param_fliplr,0.309409,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training_runs/waste-seg-yolo/args.yaml,Tuned final training parameter.
augmentation_or_training_param_mosaic,0.083501,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training_runs/waste-seg-yolo/args.yaml,Tuned final training parameter.
augmentation_or_training_param_mixup,0.233144,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training_runs/waste-seg-yolo/args.yaml,Tuned final training parameter.
augmentation_or_training_param_cutmix,0.167521,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training_runs/waste-seg-yolo/args.yaml,Tuned final training parameter.
augmentation_or_training_param_copy_paste,0.212111,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training_runs/waste-seg-yolo/args.yaml,Tuned final training parameter.
augmentation_or_training_param_copy_paste_mode,flip,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training_runs/waste-seg-yolo/args.yaml,Tuned final training parameter.
augmentation_or_training_param_multi_scale,0.324605,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training_runs/waste-seg-yolo/args.yaml,Tuned final training parameter.
augmentation_or_training_param_freeze,5,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training_runs/waste-seg-yolo/args.yaml,Tuned final training parameter.
augmentation_or_training_param_mask_ratio,8,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training_runs/waste-seg-yolo/args.yaml,Tuned final training parameter.
augmentation_or_training_param_overlap_mask,false,kaggle-output/artifacts/training/yolo/waste-seg-yolo/training_runs/waste-seg-yolo/args.yaml,Tuned final training parameter.
