scope,split,source,class_name,images,instances,source_file,notes
split_by_class,train,all,plastic_bag,,664,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,train,all,plastic_bottle,,457,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,train,all,rigid_plastic,,1077,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_summary,val,all,all,969,1514,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Split summary from dataset_manifest.json.
split_by_source,val,aquatrash,all,55,,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Image count by source in split.
split_by_source,val,realwaste,all,689,,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Image count by source in split.
split_by_source,val,taco,all,225,,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Image count by source in split.
split_by_class,val,all,glass,,101,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,val,all,metal_can,,199,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,val,all,mixed_waste,,367,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,val,all,organic_waste,,109,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,val,all,paper_cardboard,,218,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,val,all,plastic_bag,,138,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,val,all,plastic_bottle,,113,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
split_by_class,val,all,rigid_plastic,,269,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Instance count by class in split.
source_summary,all,aquatrash,all,368,450,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source summary from dataset_manifest.json.
source_by_class,all,aquatrash,glass,,38,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,aquatrash,metal_can,,102,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,aquatrash,mixed_waste,,128,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,aquatrash,paper_cardboard,,51,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,aquatrash,plastic_bag,,16,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,aquatrash,plastic_bottle,,66,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,aquatrash,rigid_plastic,,49,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_summary,all,realwaste,all,4592,4623,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source summary from dataset_manifest.json.
source_by_class,all,realwaste,glass,,426,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,realwaste,metal_can,,538,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,realwaste,mixed_waste,,999,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,realwaste,organic_waste,,719,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,realwaste,paper_cardboard,,977,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,realwaste,plastic_bag,,69,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,realwaste,plastic_bottle,,292,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,realwaste,rigid_plastic,,603,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_summary,all,taco,all,1500,4629,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source summary from dataset_manifest.json.
source_by_class,all,taco,glass,,244,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,taco,metal_can,,545,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,taco,mixed_waste,,1283,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,taco,organic_waste,,8,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,taco,paper_cardboard,,474,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,taco,plastic_bag,,827,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,taco,plastic_bottle,,326,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
source_by_class,all,taco,rigid_plastic,,922,kaggle-output/mlruns/1/e5e5723dba6c44e490577a327c338ee1/artifacts/lineage/dataset_manifest.json,Source instance count by class.
